1025,501,V,88,205.5,206,355,103.5
1025,502,H,117,9.5,9,-450,5
1025,503,V,104,194,192,195,99.5
1025,504,H,113,6,5.5,-235,pk
1025,505,V,129,210.5,212,325,110
1025,506,H,100,8,8,-400,10.5
1026,701,V,108,202,200,135,99.5
1026,702,H,96,4,3,-155,1
1026,703,V,121,207.5,204.5,185,103.5
1026,704,H,130,5,5.5,-215,1
1026,705,V,91,195,197,210,0.5
1026,706,H,109,7,6,-260,98
1026,707,V,117,209,212.5,601,109
1026,708,H,122,14,11.5,-902,5
1026,709,V,98,197,1.5,-120,100
1026,710,H,102,3.5,199,100,2
1026,711,V,107,pk,1.5,-120,97
1026,712,H,96,196,195,100,3.5
1026,713,V,103,7,9,-460,6
1026,714,H,97,208,209.5,365,104
1026,715,V,107,208.5,206,105,101
1026,716,H,102,4,1.5,-125,3.5
1026,717,V,113,210,211.5,130,107
1026,718,H,94,3,3,-150,6.5
1026,719,V,114,5,6,-260,1.5
1026,720,H,120,220,225,210,115
1027,501,V,99,203.5,201.5,155,101
1027,502,H,114,2.5,3.5,-175,2
1027,503,V,99,1,208.5,-105,2
1027,504,H,105,210.5,1,-115,106.5
1027,505,V,114,1.5,2.5,-140,105.5
1027,506,H,106,208.5,210,120,2
1027,507,V,102,8,7.5,-360,7.5
1027,508,H,94,206,203,295,107.5
1028,701,V,94,3,2.5,-145,100.5
1028,702,H,91,204.5,205.5,125,2
1028,703,V,82,197,195,160,4
1028,704,H,108,4,4,-180,96
1028,705,V,94,6.5,5.5,-230,6.5
1028,706,H,103,211.5,218.5,190,109.5
1028,707,V,110,211,209,280,107
1028,708,H,113,10.5,7.5,-345,7.5
1028,709,V,97,198,1.5,-120,4
1028,710,H,91,1.5,197,100,97.5
1028,711,V,106,217,2,-130,1
1028,712,H,98,2,218.5,110,107
1028,713,V,89,199,202,370,100
1028,714,H,96,9.5,9,-465,4
1028,715,V,122,9.5,12.5,-1000,5
1028,716,H,114,217,223.5,700,110.5
1029,501,V,104,6½,7½,-370,½
1029,502,H,72,204,202,285,103
1029,503,V,104,206,2½,-145,1
1029,504,H,98,pk,202½,125,103
1029,505,V,99,207,204½,500,101
1029,506,H,105,11½,11,-800,1½
1029,507,V,104,200,198½,135,1
1029,508,H,111,2½,3,-155,100
1029,509,V,108,206,205,280,104
1029,510,H,110,6½,8,-360,3½
1029,511,V,101,210,209½,145,4½
1029,512,H,118,3,3½,-165,103½
1029,513,V,79,206,204,900,100
1029,514,H,98,12½,14,-1900,5½
1029,515,V,115,211,1,-125,104½
1029,516,H,113,1,211½,105,1½
1029,517,V,103,2½,203,-110,101
1029,518,H,106,203½,pk,-110,3½
1030,701,V,75,196,189,295,98.5
1030,702,H,88,8,7.5,-360,1.5
1030,703,V,106,12,11.5,-791,9
1030,704,H,100,225,227,570,113
1030,705,V,83,193.5,197.5,250,97
1030,706,H,98,7,7,-315,0.5
1030,707,V,106,6,6.5,-290,1.5
1030,708,H,99,195,194,230,102
1030,709,V,96,214,216,355,107
1030,710,H,113,8.5,8.5,-450,1
1030,711,V,103,202.5,3.5,-160,3.5
1030,712,H,112,1,204.5,140,102.5
1030,713,V,92,216,213.5,200,107.5
1030,714,H,93,6.5,6,-240,0.5
1031,501,V,102,204,206.5,230,0.5
1031,502,H,105,7.5,6.5,-290,102
1031,503,V,118,5.5,6,-245,104
1031,504,H,88,210.5,209.5,205,3
1031,505,V,95,202.5,203,250,101.5
1031,506,H,106,7.5,7.5,-310,1
1031,507,V,98,207,204.5,750,104.5
1031,508,H,116,10.5,12.5,-1150,4
1101,701,V,120,218,217,420,108½
1101,702,H,128,8½,9½,-540,5
1101,703,V,108,216,213½,355,105
1101,704,H,115,9½,9,-450,1½
1101,705,V,103,4,5,-202,7
1101,706,H,101,199,198½,172,99
1101,707,V,89,198,203,150,½
1101,708,H,102,3½,4,-170,101
1101,709,V,96,201,199½,145,99
1101,710,H,108,4,3½,-165,1
1101,711,V,80,199,197½,285,2½
1101,712,H,116,5½,7½,-350,97
1101,713,V,117,206,204½,145,101
1101,714,H,113,3,3½,-165,4½
1101,715,V,106,189,186,435,99
1101,716,H,91,11,9½,-575,9
1101,717,V,127,6,5½,-240,2½
1101,718,H,104,225,225½,200,113
1102,501,V,113,203,205.5,105,102
1102,502,H,103,1,1.5,-125,11
1102,503,V,93,195,197,850,98.5
1102,504,H,109,11.5,12.5,-1350,11.5
1102,505,V,118,213.5,219,-105,108
1102,506,H,99,1,1,-115,5
1102,507,V,123,208,205,750,102
1102,508,H,116,11,12,-1150,4.5
1102,509,V,101,4,4,-170,7
1102,510,H,109,204.5,205,150,101
1102,511,V,83,206,207.5,175,104
1102,512,H,89,6,5,-205,5
1102,513,V,100,209.5,207,144,102.5
1102,514,H,107,2.5,3,-164,1
1102,515,V,81,188,186.5,140,1.5
1102,516,H,97,4.5,3,-160,93
1102,517,V,115,3.5,2.5,-150,3
1102,518,H,118,215.5,216.5,130,110
1102,519,V,85,205,209,240,105
1102,520,H,83,6,7,-300,6.5
1103,701,V,94,202,198,-120,2
1103,702,H,102,2,pk,100,98½
1103,703,V,122,210,207,450,107
1103,704,H,128,7,10½,-700,1
1103,705,V,102,209,204½,145,100
1103,706,H,99,3½,3,-165,pk
1103,707,V,107,2½,2½,-145,3½
1103,708,H,125,210,210½,125,103½
1103,709,V,96,226½,223,525,107½
1103,710,H,122,10,12,-850,½
1104,501,V,92,207,205,100,4
1104,502,H,95,2,1.5,-120,105.5
1104,503,V,99,5.5,6.5,-275,7
1104,504,H,95,206,203,225,100.5
1104,505,V,87,199,202,240,101
1104,506,H,96,7.5,7,-300,2
1104,507,V,117,208,210,255,105
1104,508,H,104,6.5,7.5,-320,5
1104,509,V,112,211,210.5,125,109.5
1104,510,H,111,4,2.5,-145,0.5
1104,511,V,99,4,5.5,-235,97
1104,512,H,88,196.5,197.5,195,2
1104,513,V,105,208,2,-135,pk
1104,514,H,95,1.5,208,115,103.5
1104,515,V,100,5,3.5,-165,97
1104,516,H,86,186,183.5,145,2
